nodenumber,x,y,z,pressure,x-velocity,y-velocity,z-velocity
1,-2.00E-02,-2.45E-18,-1.00E-01,4.29E+01,0.00E+00,0.00E+00,0.00E+00
2,-1.43E-02,-9.87E-11,-1.00E-01,0.00E+00,9.16E-02,-4.14E-02,-2.27E-01
3,-1.09E-02,-5.40E-11,-1.00E-01,0.00E+00,7.89E-02,-4.13E-02,-2.71E-01
4,-7.70E-03,-2.04E-11,-1.00E-01,0.00E+00,6.02E-02,-4.34E-02,-3.09E-01
5,-4.22E-04,7.03E-12,-1.00E-01,0.00E+00,1.60E-02,-1.26E-02,-3.30E-01
6,-1.14E-04,5.95E-12,-1.00E-01,0.00E+00,1.40E-02,-1.12E-02,-3.31E-01
7,-1.06E-07,-1.18E-12,-1.00E-01,0.00E+00,1.33E-02,-1.07E-02,-3.31E-01
8,8.72E-03,-1.05E-11,-1.00E-01,0.00E+00,-4.21E-02,3.49E-02,-3.00E-01
9,8.85E-03,5.51E-12,-1.00E-01,0.00E+00,-4.29E-02,3.53E-02,-2.99E-01
10,1.49E-02,1.65E-12,-1.00E-01,0.00E+00,-6.84E-02,4.61E-02,-2.34E-01
11,1.51E-02,2.33E-12,-1.00E-01,1.13E+00,-6.71E-02,4.34E-02,-2.25E-01
12,2.00E-02,1.30E-11,-1.00E-01,3.68E+01,0.00E+00,0.00E+00,0.00E+00
13,2.04E-02,9.24E-12,-1.00E-01,3.81E+01,0.00E+00,0.00E+00,0.00E+00
14,-1.00E-01,-1.22E-17,-1.00E-01,5.76E+01,0.00E+00,0.00E+00,0.00E+00
15,-9.22E-02,-5.27E-11,-1.00E-01,5.77E+01,0.00E+00,0.00E+00,0.00E+00
16,-8.80E-02,5.21E-11,-1.00E-01,5.77E+01,0.00E+00,0.00E+00,0.00E+00
17,-8.53E-02,-7.65E-11,-1.00E-01,5.77E+01,0.00E+00,0.00E+00,0.00E+00
18,-7.95E-02,-4.63E-11,-1.00E-01,5.76E+01,0.00E+00,0.00E+00,0.00E+00
19,-7.75E-02,-2.36E-11,-1.00E-01,5.76E+01,0.00E+00,0.00E+00,0.00E+00
20,-7.32E-02,1.92E-11,-1.00E-01,5.73E+01,0.00E+00,0.00E+00,0.00E+00
21,-6.92E-02,-2.64E-12,-1.00E-01,5.71E+01,0.00E+00,0.00E+00,0.00E+00
22,-6.62E-02,-3.97E-11,-1.00E-01,5.68E+01,0.00E+00,0.00E+00,0.00E+00
23,-6.17E-02,8.38E-12,-1.00E-01,5.63E+01,0.00E+00,0.00E+00,0.00E+00
24,-5.42E-02,-5.08E-12,-1.00E-01,5.52E+01,0.00E+00,0.00E+00,0.00E+00
25,-5.40E-02,-7.54E-12,-1.00E-01,5.52E+01,0.00E+00,0.00E+00,0.00E+00
26,-5.33E-02,2.40E-12,-1.00E-01,5.50E+01,0.00E+00,0.00E+00,0.00E+00
27,-4.65E-02,3.84E-11,-1.00E-01,5.38E+01,0.00E+00,0.00E+00,0.00E+00
28,-4.50E-02,-1.14E-10,-1.00E-01,5.35E+01,0.00E+00,0.00E+00,0.00E+00
29,-3.99E-02,1.52E-11,-1.00E-01,5.23E+01,0.00E+00,0.00E+00,0.00E+00
